,recipeName,ingredients,instructions,supplementary_ingredients,supplementary_instructions
10,Mkate Kuta ,"3 ½ cups (531 g) wheat flour, all-purpose 3 ½ cups (563 g) wheat flour, self-rising 1 ½ cups (293 g) sugar 6 1/3 cups (1240 g) cooking oil 1 ¼ tsp. (2 g) cardamom powder 3 ½ cups (783 g) water ","• Put the all-purpose flour and the self-rising flour into a pot. • Heat 1 cup of oil in a cooking pot for 5 minutes. • Add heated oil into the flour mixture gradually. • Mix sugar and cardamom powder separately and then add into the flour mixture and stir. • Heat the water for 4 minutes or until warm. Add all the water gradually while kneading. • Knead the mixture to the desired consistency or until a soft dough is achieved. • Cover the dough and set aside for 20 minutes to allow the sugar to dissolve. • Knead the dough again for sugar to mix evenly. • Divide the dough into 2 balls. • Spread it out into at least 1-inch thickness, cut it lengthways and later into small cubes. • Heat the remaining oil in a frying pan for 10 min- utes or until hot. • Gently drop the pieces into the hot oil. • Cook until golden brown and turn. • Repeat this for all the pieces. • Remove from oil and place on paper towels to drain the oil. The nutrient content of this dish could not be estimated due to missing yield factors. 25 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15135 ",,
11,Tosti Mayai (Egg Toast) ,"2 eggs, whole (134 g) 1/8 tsp. (1 g) salt, iodized 1/8 cup (28 g) cooking oil 4 slices bread, white (123 g) ","Makes 4 • Break eggs into a clean bowl, add salt and beat. • Heat a wide pan for 1 minute on high heat. • Put oil and spread it into the pan. Heat the oil for 1 minute. • Dip bread slices into the eggs, turn to coat both sides of each slice. • Gently place all the egg-soaked bread slices onto the greased pan. • Cook each side for 1 minute. • Remove from heat and serve. Energy 1,175 kJ/ 280 kcal │| Fat 10.7 g |│ Carbohydrates 32.4 g │| Protein 12.5 g │| Fibre 1.9 g │ Vitamin A 106 mcg |│ Iron 2.1 mg |│ Zinc 1.20 mg Nutrition data per 100g of recipe: 27 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15028 ",,
12,Oatmeal ,"1 cup (119 g) oats 2 1/3 cups (529 g) water ¼ tsp. (1 g) salt, iodized ",Energy 351 kJ/ 83 kcal |│ Fat 1.7g │| Carbohydrates 12.9 g │| Protein 2.4 g |│ Fibre 3.5 g │ Vitamin A 0 mcg |│ Iron 1.0 mg |│ Zinc 0.71 mg Nutrition data per 100g of recipe: 29 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15122 ,,
13,Chai ya Maziwa (Mixed Tea) ,13 cups (2968 g) water 4 ½ cups (1020 g) cow milk ¾ cup (139 g) sugar 3 tbsp. (12 g) tea leaves ,"Makes 17 cups • Bring all the water to a boil. • Add the tea leaves and continue to cook for 5 minutes. • Add milk and bring to a boil. • Add sugar, stir and bring to a boil. • Turn off the heat and sieve. • Serve while hot. Energy 153 kJ/ 36 kcal | Fat 1.2 g │| Carbohydrates 5.4 g │| Protein 1.1 g |│ Fibre 0.0 g │ Vitamin A 14 mcg |│ Iron 0.0 mg |│ Zinc 0.21 mg Nutrition data per 100g of recipe: 31 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15081 ",,
14,Vimumunya vya Chumvi (Pumpkin & Coconut Milk) ,"Pumpkin, raw (739 g) 1 tsp. (6 g) salt, iodized 1 1/8 cups (253 g) coconut milk 1 cup (223 g) water ","Serves 4 • Peel the pumpkin and cut into chunks. • Put pumpkin into a pot, add all the water and start cooking. • Add salt and bring to boil for 15 minutes. • Add coconut milk and boil for 5 minutes. • Remove from heat. • Serve. Energy 297 kJ/ 72 kcal │| Fat 4.9 g │| Carbohydrates 4.6 g |│ Protein 1.3 g │| Fibre 1.9 g │ Vitamin A 88 mcg |│ Iron 0.3 g |│ Zinc 0.25 mg Nutrition data per 100g of recipe: 33 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15064 ",,
15,35 ,,,,
16,Maize Porridge (Uji wa Mahindi) ,"1 ¾ cups (236 g) whole maize flour, white 7 cups (1513 g) water 1½ cups (330 g) cow milk ","• Put 5 cups of the water into the cooking pot, cover and heat until it boils. • Meanwhile mix the maize flour with 2 cups cold water separately. Use cold water to avoid forming lumps. • Stir until smooth. • Add the mixture into boiling water while stirring and continue stirring to avoid forming lumps. • Allow to cook for 3 minutes. • Add milk and cook for a further 7 minutes. • Serve hot. Energy 221 kJ/ 52 kcal │| Fat 1.1 g |│ Carbohydrates 8.5 g │| Protein 1.5 g |│ Fibre 1.1 g │ Vitamin A 7 mcg │| Iron 0.3 mg |│ Zinc 0.33 mg Nutrition data per 100g of recipe: 37 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15001 ",,
17,"Sorghum, Finger Millet and Maize Porridge ","8 tbsp. (83 g) sorghum flour, whole 6 ½ tbsp. (68 g) finger millet flour, whole 8 ¼ tbsp. (82 g) maize flour, whole, white 1 2/3 cups (366 g) cow milk 7 ¼ cups (1833 g) water ","• Mix the whole maize flour, sorghum flour and finger millet into a bowl. • Add 2 cups of cold water into the flour mixture, stir until smooth using a wooden cooking stick. • Bring 5 cups of water to boil in a cooking pot. • After the water has boiled, add the mixture as you stir. Keep stirring to avoid forming lumps. • Add milk after 10 minutes of cooking. • Keep stirring until cooked. If the porridge is too thick add a little water (¼ cup) or until desired consistency is achieved. • Serve hot. Energy 174 kJ/ 41 kcal |│ Fat 0.9 g │| Carbohydrates 6.3 g │| Protein 1.3 g |│ Fibre 1.3 g │ Vitamin A 7 mcg |│ Iron 0.5 mg │| Zinc 0.27 mg Nutrition data per 100g of recipe: 39 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15002 ",,
18,Cassava Porridge (Uji wa Muhogo) ,10 tbsp. (100 g) cassava flour 2 tbsp. (22 g) sugar 8 ½ cups (1840 g) water • ,"Serves 6 • Boil 6 cups of water in a pot for 6 minutes. In a separate bowl, add 2 ½ cups of water to the cas- sava flour and mix to a medium paste. • Add the paste to the boiling water and stir continu- ously until the mixture boils to prevent lumps. • Continue boiling for 13 minutes and add sugar. • Stir, remove and serve the porridge. Energy 121 kJ/ 28 kcal |│ Fat 0.0 g │| Carbohydrates 6.8 g |│ Protein 0.1 g │| Fibre 0.3 g │ Vitamin A 0 mcg |│ Iron 0.1 mg │| Zinc 0.05 mg Nutrition data per 100g of recipe: 41 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15013 ",,
19,Finger Millet Porridge (Uji wa Wimbi) ,"1 cup (123 g) finger millet flour, whole 2 ½ tbsp. (35 g) sugar, white • 7 cups (1509 g) water • ","• Boil 5 cups of water in a pot. In a separate bowl, add 2 cups of water to the finger millet flour and mix to a medium paste. • Add the paste to the boiling water and stir to prevent lumps from forming (do this until the mixture boils). Leave to boil for 5 minutes and add sugar. • Stir, remove and serve the porridge. Energy 168 kJ/ 40 kcal │| Fat 0.2 g |│ Carbohydrates 7.2 g │| Protein 0.7 g │| Fibre 2.1 g │ Vitamin A 0 mcg │| Iron 1.1 mg |│ Zinc 0.16 mg Nutrition data per 100g of recipe: 43 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15014 ",,
20,Bulrush Millet Porridge (Uji wa Mawele) ,1 1/3 cups (176 g) bulrush millet flour 2 tbsp. (29 g) sugar 4 1/3 cups (940 g) water • • • • • ,"Serves 4 Put 3 1/3 cups of water in a pot and bring to a boil. In a separate bowl, add 1 cup of water to bulrush millet flour. Stir to a smooth light consistency. Add the paste/ mixture to the boiling water while stirring to prevent lumps. Stir until the mixture starts to boil. Add sugar after 5 minutes and continue stirring. Cook for 13 minutes and then remove from fire. Energy 350 kJ/ 83 kcal │| Fat 1.0 g │| Carbohydrates 15.7 g |│ Protein 2 g |│ Fibre 1.6 g │ Vitamin A 0 mcg │| Iron 6 mg │| Zinc 0.77 mg Nutrition data per 100g of recipe: 45 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15015 ",,
21,Rice Flour Porridge (Uji wa Mchele) ,1 cup (140 g) rice flour 3 ½ tbsp. (49 g) sugar • ½ tsp. (1 g) cardamom powder 2/3 cup (140 g) coconut milk 8 1/8 cups (1780 g) water • ,"Serves 6 In a pot, mix 6 cups of water with cardamom powder and bring the mixture to a boil for 5 minutes. In a separate bowl, add 2 cups of water to the rice flour and mix to a smooth paste. • Add the paste to the boiling water gradually and stir continuously to prevent lumps. • Cook while stirring for 3 minutes then add the coco- nut milk. • Stir and add sugar. • Add 1/8 cup of water while stirring to a smooth me- dium consistency for 3 minutes. • Remove from heat. Energy 235 kJ/56 kcal │| Fat 1.3 g │| Carbohydrates 10.2 g |│ Protein 0.6 g |│ Fibre 0.2 g │ Vitamin A 0 mcg |│ Iron 0.1 g |│ Zinc 0.11 mg Nutrition data per 100g of recipe: 47 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15016 ",,
22,"Cassava, Millet & Sorghum Porridge ",1/3 cup (46 g) cassava flour 2 ½ tbsp. (26 g) red sorghum flour 2 ½ tbsp. (25 g) finger millet flour 3 tbsp. (46 g) sugar 7 ½ cups (1607 g) water • ,"Serves 4 • Blend the cassava, red sorghum and finger millet flour evenly. • Add 1 ½ cups of water to the blended flours grad- ually to a medium consistency. In a separate pot, bring 6 cups of water to a boil. • Add the paste to the boiling water and stir until the mixture thickens and starts to bubble to pre- vent lumps from forming. • Add sugar, stir and leave it to boil for 10 minutes. • Remove from fire and serve hot. Energy 194 kJ/ 46 kcal │ Fat 0.1 g │| Carbohydrates 10.2 g |│ Protein 0.5 g │| Fibre 1.0 g │ Vitamin A 0 mcg |│ Iron 0.4 mg │| Zinc 0.12 mg Nutrition data per 100g of recipe: 49 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15012 ",,
23,Finger Millet and Sorghum Porridge ,1 cup (128 g) finger millet flour 5½ tbsp. (56 g) sorghum flour 3 1/3 cups (749 g) milk 3 1/3 cups (733 g) water ,"• Boil 3 cups of the water in a pot. • Mix the finger millet and the sorghum flour in a bowl, add 1 ½ cups of milk and stir to attain a smooth consis- tency without lumps. • Add the mixture into the boiling water and stir continu- ously until it boils. • Add the rest of the milk and water. • Continue cooking while stirring until ready (8-10 min- utes). • Remove from heat. Energy 311 kJ/ 74 kcal │| Fat 2.2 g │| Carbohydrates 9.7 g │| Protein 2.7 g |│ Fibre 2.3 g │ Vitamin A 22 mcg │| Iron 1.1 mg |│ Zinc 0.54 mg Nutrition data per 100g of recipe: 51 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15119 ",,
24,Oat Porridge (Uji wa Shayiri) ,5 tbsp. (107 g) oatmeal flour ½ cup (105 g) sugar 4 ½ cups (990 g) water 1½ cups (331 g) cow milk ,"• Put 1 ½ cups of water into a cup, add oat flour and stir to a smooth consistency. • Put the rest of the water in a pot and bring to boil. • Add the flour mixture into the boiling water and stir. • Continue stirring while cooking for 2 minutes. • Add milk and heat while stirring for 7 minutes. • Add sugar and stir to mix. • Remove and serve while hot. Energy 363 kJ/ 86 kcal │| Fat 1.6g |│ Carbohydrates 15.3 g |│ Protein 1.9 g │| Fibre1.4 g │ Vitamin A 11 mcg │| Iron 0.4 mg │| Zinc 0.45 mg Nutrition data per 100g of recipe: 53 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15123 ",,
25,“Busara” (Whole Maize and Finger Millet Porridge) ,"1 cup (130 g) maize flour, whole, white 2 1/8 cups (273 g) finger millet flour 1 ½ cups (194 g) sprouted finger millet flour 20 ½ cups (4455 g) water • ","• Heat 1 ½ cups of water. • Put the sprouted finger millet flour and 1 ½ cups of hot water. Swirl the mixture and cover for 5 min- utes. • Mix the remaining dry ingredients (pure finger millet flour and whole maize flour). • Add 6 cups of water into the dry ingredients and stir to achieve a smooth paste. In a cooking pot, add the rest of the water (13 cups) and bring to a boil. • Add the paste into the boiling water, stir and bring to a boil. Cook for 2 minutes. • Add the cooked porridge mixture to the sprouted millet mixture in the gourd and stir. • Cover the gourd and set it aside for 1 hour 30 minutes. • Serve cold. Energy 170 kJ/ 40 kcal |│ Fat 0.3 g |│ Carbohydrates 7.3 g |│ Protein 1 g │| Fibre 2.5 g │ Vitamin A 0 mcg │| Iron 1.9 mg │| Zinc 0.22 mg Nutrition data per 100g of recipe: 55 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15018 ",,
26,Wheat Flour Porridge (Uji wa Ngano) ,"¾ cup (112 g) wheat flour, refined 6 cups (1286 g) water 2/3 cup (135 g) sugar ½ cup (119 g) peanut butter ",Serves 4 • Put 4 cups of water into a pot and bring to a boil. • Mix the wheat flour and 1 ½ cups of water in a separate bowl to a smooth consistency. • Add flour mixture into the boiling water and stir until it starts to bubble. • Mix the peanut butter with ½ cup of water and add gradually into the boiling porridge while stirring. • Boil for 3 minutes and add sugar. • Simmer for 4 minutes and serve. Energy 468 kJ/ 111 kcal │| Fat 3.9 g │| Carbohydrates 16.1 g │| Protein 2.5 g |│ Fibre 0.9 g │ Vitamin A 7 mcg |│ Iron 0.9 mg |│ Zinc 0.24 mg Nutrition data per 100g of recipe: 57 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15136 ,,
27,59 ,,,,
28,• Put oil into the pan used to boil the meat. ,"10 seeds (1 g) cardamom, whole 5 sticks (3 g) cinnamon, whole 5 seeds (1 g) black pepper, whole 3 1/3 cups (595 g) raw white rice ½ kg beef 5 seeds (1 g) cloves, whole 6 tsp. (30 g) salt, iodized 2 tbsp. (11 g) cumin 4 potatoes, unpeeled, raw (840 g) 3 onions, red skinned, unpeeled, raw (387 g) 5 cloves (17 g) garlic, whole 1 root (23 g) ginger ½ green capsicum (115 g) 62 g coriander, fresh 8 ¼ cups (1788 g) water 1 ½ cups (293 g) cooking oil Pilau (Spiced Rice) ","• Boil the meat in a large cooking pot with all the water for 30 minutes, drain the water and set both meat and water aside.  Cut meat into medium size chunks. • Prepare and chop onions and potatoes, grate capsicum, pound coriander, crush garlic and ginger. • Place each prepared ingredient in small separate bowls. • Toast cumin seeds under medium heat on a dry pan until they start to brown. Remove from the heat and grind. • Toast cardamom, cinnamon, cloves and black pepper together until they produce an aroma. Grind them. A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15036 ",,
29,Mseto wa Maharagwe (Rice with Beans) ,"3 cups (505 g) kidney beans, raw 21 ¼ cups (4600 g) water 4 cups (684 g) raw white rice, long grain 1 large onion, red skinned, raw, unpeeled (206 g) 2 tomatoes, red, ripe, raw (226 g) 1 ¼ cups (238 g) cooking oil 2 tbsp. (27 g) salt ","45 minutes | Serves 6 • Soak the beans in 13 ¼ cups of water for 2 hours 35 minutes. • Boil the soaked beans for 3 hours. • Peel, wash and cut onions and tomatoes separate- ly. • Fry the onions in cooking oil until golden-brown, add the tomatoes until they have cooked down to a paste. • Add salt to taste. • Add the previously boiled beans and stir until evenly mixed and well coated with the tomatoes. • Add 8 cups of water and let it boil. • Wash rice until water runs clear. • Add rice. When it starts boiling, reduce fire and let it cook on low heat for 20 minutes. • Remove and serve hot. Energy 807 kJ/ 193 kcal |│ Fat 7.9 g │| Carbohydrates 23.5 g │| Protein 5 g |│ Fibre 3.8 g │ Vitamin A 3 mcg |│ Iron 1.3 mg │| Zinc 0.76 mg Nutrition data per 100g of recipe: 63 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15038 ",,
30,Mseto wa Ndengu (Rice with Green Grams) ,"3 ½ cups (621 g) raw white rice 1 ¼ cups (242 g) green grams ¾ cup (180 g) coconut milk 1 onion, red skinned, raw, unpeeled (77 g) ½ tsp. (3 g) salt, iodized 13 cups (2832 g) water • • ","Serves 6 • Boil the green grams in 6 cups of water for 1 hour and set aside. • Prepare and finely chop the onions. In a separate cooking pot, add 7 cups of water. • Add chopped onion and salt to the water and bring to a boil for 10 minutes. • Add the rice to the boiling mixture and cook until the water starts to dry up. • Add the green grams and reduce heat. Cook for 8 min- utes. • Add the coconut milk and stir after 2 minutes. Leave covered over very low heat to dry for 10 minutes. • Turn off the heat and serve hot. Energy 433 kJ/ 103 kcal │| Fat 1.3 g │| Carbohydrates 18.4 g │| Protein 3.7 g │| Fibre 1.5 g │ Vitamin A 1 mcg │| Iron 0.8 mg │| Zinc 0.48 mg Nutrition data per 100g of recipe: 65 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15037 ",,
31,Swahili Biryani Rice ,"5 3/4 cups (1 kg) raw white rice 8 2/3 (1874 g) water 1 g food colour powder, egg yellow 2 tsp. (10 g) salt, iodized 7 tbsp. (85 g) cooking oil ","Serves 4 • Take out 2 tablespoons of water and put the rest of the water into a cooking pot, add salt and bring to a boil. • Wash the rice and add into the boiling water. Cover to cook for 10 minutes. • Meanwhile mix the food colour in the 2 tablespoons of water. • Add oil and cook for another 2 minutes. • Add the food colour and simmer for 13 minutes. • Remove from heat. • Serve with biryani stew. Energy 641 kJ/ 152 kcal │| Fat 3.2 g │| Carbohydrates 27.9 g |│ Protein 2.7 g |│ Fibre 0.3 g │ Vitamin A 0 mcg |│ Iron 0.3 mg │| Zinc 0.47 mg Nutrition data per 100g of recipe: 67 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15066(r) ",,
